t	x	y
0.66	0.295903	-0.347012
0.661	0.293928	-0.34861
0.662	0.291958	-0.350213
0.663	0.289992	-0.35182
0.664	0.288029	-0.353432
0.665	0.28607	-0.35505
0.666	0.284114	-0.356673
0.667	0.282161	-0.358301
0.668	0.280212	-0.359936
0.669	0.278266	-0.361576
0.67	0.276322	-0.363223
0.671	0.274382	-0.364876
0.672	0.272444	-0.366535
0.673	0.270509	-0.368201
0.674	0.268576	-0.369875
0.675	0.266646	-0.371555
0.676	0.264717	-0.373243
0.677	0.262791	-0.374938
0.678	0.260867	-0.376641
0.679	0.258944	-0.378351
0.68	0.257023	-0.38007
0.681	0.255104	-0.381797
0.682	0.253186	-0.383532
0.683	0.251269	-0.385276
0.684	0.249353	-0.387029
0.685	0.247437	-0.388791
0.686	0.245523	-0.390562
0.687	0.243609	-0.392342
0.688	0.241695	-0.394131
0.689	0.239782	-0.395931
0.69	0.237868	-0.39774
0.691	0.235955	-0.399558
0.692	0.234041	-0.401387
0.693	0.232126	-0.403227
0.694	0.230211	-0.405077
0.695	0.228295	-0.406937
0.696	0.226378	-0.408808
0.697	0.22446	-0.41069
0.698	0.22254	-0.412583
0.699	0.220619	-0.414488
0.7	0.218696	-0.416403
0.701	0.216771	-0.418331
0.702	0.214844	-0.42027
0.703	0.212915	-0.42222
0.704	0.210983	-0.424183
0.705	0.209048	-0.426158
0.706	0.207111	-0.428145
0.707	0.20517	-0.430144
0.708	0.203226	-0.432156
0.709	0.201279	-0.434181
0.71	0.199328	-0.436218
0.711	0.197373	-0.438268
0.712	0.195414	-0.440332
0.713	0.19345	-0.442408
0.714	0.191482	-0.444498
0.715	0.18951	-0.446601
0.716	0.187532	-0.448717
0.717	0.18555	-0.450848
0.718	0.183562	-0.452991
0.719	0.181569	-0.455149
0.72	0.17957	-0.457321
0.721	0.177565	-0.459507
0.722	0.175554	-0.461706
0.723	0.173536	-0.463921
0.724	0.171512	-0.466149
0.725	0.169482	-0.468392
0.726	0.167444	-0.47065
0.727	0.165399	-0.472922
0.728	0.163347	-0.475209
0.729	0.161288	-0.47751
0.73	0.15922	-0.479827
0.731	0.157145	-0.482158
0.732	0.155061	-0.484505
0.733	0.152969	-0.486867
0.734	0.150869	-0.489244
0.735	0.14876	-0.491636
0.736	0.146641	-0.494044
0.737	0.144514	-0.496467
0.738	0.142377	-0.498905
0.739	0.140231	-0.501359
0.74	0.138075	-0.503829
0.741	0.135909	-0.506314
0.742	0.133732	-0.508815
0.743	0.131546	-0.511332
0.744	0.129348	-0.513865
0.745	0.127141	-0.516414
0.746	0.124922	-0.518978
0.747	0.122692	-0.521559
0.748	0.120451	-0.524155
0.749	0.118198	-0.526768
0.75	0.115933	-0.529397
0.751	0.113657	-0.532041
0.752	0.111369	-0.534702
0.753	0.109068	-0.53738
0.754	0.106755	-0.540073
0.755	0.10443	-0.542783
0.756	0.102091	-0.545509
0.757	0.09974	-0.548251
0.758	0.0973757	-0.55101
0.759	0.0949981	-0.553785
0.76	0.0926071	-0.556576
0.761	0.0902026	-0.559384
0.762	0.0877843	-0.562208
0.763	0.0853521	-0.565048
0.764	0.0829058	-0.567905
0.765	0.0804453	-0.570779
0.766	0.0779705	-0.573669
0.767	0.0754812	-0.576575
0.768	0.0729772	-0.579498
0.769	0.0704584	-0.582437
0.77	0.0679247	-0.585392
0.771	0.065376	-0.588365
0.772	0.062812	-0.591353
0.773	0.0602327	-0.594358
0.774	0.057638	-0.597379
0.775	0.0550277	-0.600417
0.776	0.0524016	-0.603471
0.777	0.0497598	-0.606542
0.778	0.047102	-0.609629
0.779	0.0444282	-0.612732
0.78	0.0417382	-0.615852
0.781	0.039032	-0.618988
0.782	0.0363094	-0.62214
0.783	0.0335704	-0.625308
0.784	0.0308148	-0.628493
0.785	0.0280425	-0.631694
0.786	0.0252535	-0.634912
0.787	0.0224477	-0.638145
0.788	0.019625	-0.641395
0.789	0.0167853	-0.644661
0.79	0.0139286	-0.647943
0.791	0.0110548	-0.651241
0.792	0.00816371	-0.654555
0.793	0.00525541	-0.657885
0.794	0.0023298	-0.661231
0.795	-0.000613177	-0.664593
0.796	-0.00357358	-0.667971
0.797	-0.00655145	-0.671365
0.798	-0.00954683	-0.674775
0.799	-0.0125598	-0.678201
0.8	-0.0155903	-0.681642
0.801	-0.0186385	-0.685099
0.802	-0.0217043	-0.688572
0.803	-0.0247878	-0.692061
0.804	-0.027889	-0.695565
0.805	-0.031008	-0.699084
0.806	-0.0341447	-0.70262
0.807	-0.0372991	-0.706171
0.808	-0.0404713	-0.709737
0.809	-0.0436613	-0.713319
